text,sentiment,video_id,target_neg,target_neu,target_pos,like_count,source_url
"I paid nothing to watch this trailer, but I already want my money back.",negative,iV46TJKL8cU,0.8,0.15,0.05,51885,https://www.youtube.com/watch?v=iV46TJKL8cU
This trailer makes me finally understand why the first thing a rooster does after getting up every morning is screaming.,negative,iV46TJKL8cU,0.8,0.15,0.05,5616,https://www.youtube.com/watch?v=iV46TJKL8cU
"Bro- ""Why does your PC look new?"" Me- ""The old one vanished the moment I opened this trailer, so I had to get a new one.""",negative,iV46TJKL8cU,0.8,0.15,0.05,74,https://www.youtube.com/watch?v=iV46TJKL8cU
"""The snow white trailer just dropped"" ""Tell disney to pick it back up""",negative,iV46TJKL8cU,0.8,0.15,0.05,8531,https://www.youtube.com/watch?v=iV46TJKL8cU
Mirror mirror on the wall. Just how far will Disney fall. Mirror mirror on the wall. The poison Apple shall save us all.,negative,iV46TJKL8cU,0.8,0.15,0.05,2493,https://www.youtube.com/watch?v=iV46TJKL8cU
“Coming to a theater near you!” *Files a restraining order*,negative,iV46TJKL8cU,0.8,0.15,0.05,25018,https://www.youtube.com/watch?v=iV46TJKL8cU
Even doctors are rooting for this apple,negative,iV46TJKL8cU,0.8,0.15,0.05,39,https://www.youtube.com/watch?v=iV46TJKL8cU
Rachel Zelger: Snow White is not gonna be saved by the Prince. The Prince: Good. Because I'm here for your stepmother.,negative,iV46TJKL8cU,0.8,0.15,0.05,62728,https://www.youtube.com/watch?v=iV46TJKL8cU
"Mirror, mirror on the wall, I came here for the comments and am not disappointed at all.",negative,iV46TJKL8cU,0.8,0.15,0.05,3427,https://www.youtube.com/watch?v=iV46TJKL8cU
Making the dwarfs look like a ps1 Hagrid was a bold choice,negative,iV46TJKL8cU,0.8,0.15,0.05,8504,https://www.youtube.com/watch?v=iV46TJKL8cU
6 year old me: oh boy I hope they make a live action Snow White! Me now: NVM I TAKE IT BACK!,negative,iV46TJKL8cU,0.8,0.15,0.05,237,https://www.youtube.com/watch?v=iV46TJKL8cU
"For people who dont use the Extension currently Likes: 40,383 Dislikes: 1,012,299",negative,iV46TJKL8cU,0.8,0.15,0.05,53572,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Coming to a theatre near you!"" *moves*",negative,iV46TJKL8cU,0.8,0.15,0.05,4574,https://www.youtube.com/watch?v=iV46TJKL8cU
"If childhood happiness was a virus, this would be the cure",negative,iV46TJKL8cU,0.8,0.15,0.05,149,https://www.youtube.com/watch?v=iV46TJKL8cU
I searched this trailer only to read comments section.,negative,iV46TJKL8cU,0.8,0.15,0.05,81576,https://www.youtube.com/watch?v=iV46TJKL8cU
At this point the comment section is the real Magic Mirror.,negative,iV46TJKL8cU,0.8,0.15,0.05,63574,https://www.youtube.com/watch?v=iV46TJKL8cU
"At this point, the monetization of this video is gonna earn Disney more revenue than the movie itself will.",negative,iV46TJKL8cU,0.8,0.15,0.05,54110,https://www.youtube.com/watch?v=iV46TJKL8cU
even the projectors themselves are begging for mercy,negative,iV46TJKL8cU,0.8,0.15,0.05,53,https://www.youtube.com/watch?v=iV46TJKL8cU
My finger is exhausted from liking all the comments,negative,iV46TJKL8cU,0.8,0.15,0.05,56686,https://www.youtube.com/watch?v=iV46TJKL8cU
And best picture award goes to…. THE COMMENT SECTION!,negative,iV46TJKL8cU,0.8,0.15,0.05,3183,https://www.youtube.com/watch?v=iV46TJKL8cU
I told my boss at work that I saw Snow White and he gave me three days off for self care.,negative,iV46TJKL8cU,0.8,0.15,0.05,22359,https://www.youtube.com/watch?v=iV46TJKL8cU
“ Why are there 8 dwarfs and no snow white?”,negative,iV46TJKL8cU,0.8,0.15,0.05,30,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney: we are a diverse and inclusive company also Disney: we don't hire dwarves....,negative,iV46TJKL8cU,0.8,0.15,0.05,42812,https://www.youtube.com/watch?v=iV46TJKL8cU
"My phone didn’t just die watching this, it took its own life.",negative,iV46TJKL8cU,0.8,0.15,0.05,7978,https://www.youtube.com/watch?v=iV46TJKL8cU
That ratio is brutal... and exactly what Disney deserves after blaming the paying customer for their own bad writing over the past decade.,negative,iV46TJKL8cU,0.8,0.15,0.05,3318,https://www.youtube.com/watch?v=iV46TJKL8cU
July 7th statistics: 20 860 171 views 81 960 likes 2 379 213 dislikes（97%） 127 837 comments,negative,iV46TJKL8cU,0.8,0.15,0.05,69,https://www.youtube.com/watch?v=iV46TJKL8cU
$200m+ budget on the worlds most hilarious comments section. Worth it.,negative,iV46TJKL8cU,0.8,0.15,0.05,22749,https://www.youtube.com/watch?v=iV46TJKL8cU
"Disney: leave the comments on , the worst they'll say is no Comments: music time!",negative,iV46TJKL8cU,0.8,0.15,0.05,1619,https://www.youtube.com/watch?v=iV46TJKL8cU
We live in a timeline where a comment section is more entertaining than a DISNEY movie,negative,iV46TJKL8cU,0.8,0.15,0.05,5499,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Coming to a theatre near you"" *EMILIANO, GET THE CROSS*",negative,iV46TJKL8cU,0.8,0.15,0.05,27,https://www.youtube.com/watch?v=iV46TJKL8cU
"No dwarves were harmed, or hired, in the making of this film",negative,iV46TJKL8cU,0.8,0.15,0.05,15006,https://www.youtube.com/watch?v=iV46TJKL8cU
"So glad they've remained faithful to the original story, like the part where Snow White attempts a military coup.",negative,iV46TJKL8cU,0.8,0.15,0.05,3786,https://www.youtube.com/watch?v=iV46TJKL8cU
Time wasted watching the trailer: zero. time spent reading the comment section: 2 hours.,negative,iV46TJKL8cU,0.8,0.15,0.05,3262,https://www.youtube.com/watch?v=iV46TJKL8cU
For the first time ever I am glad that I live 3677 dwarfs away from the nearest theater,negative,iV46TJKL8cU,0.8,0.15,0.05,17,https://www.youtube.com/watch?v=iV46TJKL8cU
Rachel Zegler: I don't need your business. Everyone: Your terms are acceptable.,negative,iV46TJKL8cU,0.8,0.15,0.05,14887,https://www.youtube.com/watch?v=iV46TJKL8cU
"If this movie had been released in the 1900s, Titanic would have been forgotten as the worst disaster",negative,iV46TJKL8cU,0.8,0.15,0.05,4392,https://www.youtube.com/watch?v=iV46TJKL8cU
"Seven dwarfs? Nah, we got the seven stages of grief watching this trailer.",negative,iV46TJKL8cU,0.8,0.15,0.05,14358,https://www.youtube.com/watch?v=iV46TJKL8cU
Finally a movie that no one will pirate,negative,iV46TJKL8cU,0.8,0.15,0.05,16,https://www.youtube.com/watch?v=iV46TJKL8cU
There are comments in this section with more likes than the actual trailer,negative,iV46TJKL8cU,0.8,0.15,0.05,15067,https://www.youtube.com/watch?v=iV46TJKL8cU
"Yall cooking in these comments, this is the most expensive roast session in history.",negative,iV46TJKL8cU,0.8,0.15,0.05,11261,https://www.youtube.com/watch?v=iV46TJKL8cU
"Evil queen: Mirror mirror on the.... Magic mirror: Don't bother, you win. Roll credits.",negative,iV46TJKL8cU,0.8,0.15,0.05,4410,https://www.youtube.com/watch?v=iV46TJKL8cU
"""What did you think I was?"" ""Nothing"" ""Ghost"" Me- ""Lord farquard""",negative,iV46TJKL8cU,0.8,0.15,0.05,20,https://www.youtube.com/watch?v=iV46TJKL8cU
There are comments with 2x as many likes than the trailer. A truly groundbreaking astonishment for Disney.,negative,iV46TJKL8cU,0.8,0.15,0.05,2919,https://www.youtube.com/watch?v=iV46TJKL8cU
"For people who don't use the Extension currently Likes: 71,454 Dislike: 2,167,344",negative,iV46TJKL8cU,0.8,0.15,0.05,12684,https://www.youtube.com/watch?v=iV46TJKL8cU
Somewhere there are Disney employees reading this comment section and cracking up silently to themselves.,negative,iV46TJKL8cU,0.8,0.15,0.05,23165,https://www.youtube.com/watch?v=iV46TJKL8cU
I have respect for those who managed to sit through the whole trailer instead of going to the comments to get there entertainment.,negative,iV46TJKL8cU,0.8,0.15,0.05,11,https://www.youtube.com/watch?v=iV46TJKL8cU
The poison apple is the hero of this movie,negative,iV46TJKL8cU,0.8,0.15,0.05,1019,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney had actually taught me a very valuable lesson in life: Never believe it can’t get worse.,negative,iV46TJKL8cU,0.8,0.15,0.05,16824,https://www.youtube.com/watch?v=iV46TJKL8cU
"Evil queen: Did I frighten you? The general public: No, Snow White and her seven CGI did.",negative,iV46TJKL8cU,0.8,0.15,0.05,21367,https://www.youtube.com/watch?v=iV46TJKL8cU
I only clicked on this video so that I could run to the comment section and you guys didn't disappoint.,negative,iV46TJKL8cU,0.8,0.15,0.05,7,https://www.youtube.com/watch?v=iV46TJKL8cU
"YT deleted the original comment that said ""I'm rooting for the poisoned apple""...it was the most upvoted comment with about 50k+ likes before they deleted it several weeks ago.",negative,iV46TJKL8cU,0.8,0.15,0.05,3122,https://www.youtube.com/watch?v=iV46TJKL8cU
At this point Disney should be paying *us* to watch the movie.,negative,iV46TJKL8cU,0.8,0.15,0.05,2896,https://www.youtube.com/watch?v=iV46TJKL8cU
I think Disney left the comment section open because they realised this is the only traffic this movie is going to get.,negative,iV46TJKL8cU,0.8,0.15,0.05,7802,https://www.youtube.com/watch?v=iV46TJKL8cU
FBI use this trailer to torture people,negative,iV46TJKL8cU,0.8,0.15,0.05,18,https://www.youtube.com/watch?v=iV46TJKL8cU
Wait… which one is supposed to be the Evil Queen??,negative,iV46TJKL8cU,0.8,0.15,0.05,8088,https://www.youtube.com/watch?v=iV46TJKL8cU
My 1 month old son took his first steps today!!!! He got up and walked to turn the trailer off 10 seconds in.,negative,iV46TJKL8cU,0.8,0.15,0.05,15175,https://www.youtube.com/watch?v=iV46TJKL8cU
I got a feeling that this movie gonna have more comments on youtube than tickets sold.,negative,iV46TJKL8cU,0.8,0.15,0.05,44312,https://www.youtube.com/watch?v=iV46TJKL8cU
I showed this trailer to my therapist now he’s past out on the floor,negative,iV46TJKL8cU,0.8,0.15,0.05,39,https://www.youtube.com/watch?v=iV46TJKL8cU
"Snow White: Hello, anybody here? Projector Operator: Just me.",negative,iV46TJKL8cU,0.8,0.15,0.05,4650,https://www.youtube.com/watch?v=iV46TJKL8cU
No little people were harmed in the filming of this movie since none were hired and there was barely any filming done.,negative,iV46TJKL8cU,0.8,0.15,0.05,731,https://www.youtube.com/watch?v=iV46TJKL8cU
Amaizing - 33.000 likes and 827.000 dislikes. The world is healing.,negative,iV46TJKL8cU,0.8,0.15,0.05,5429,https://www.youtube.com/watch?v=iV46TJKL8cU
"Even piracy sites wouldn't allow this film in their site, because nobody wants to Pirate this movie",negative,iV46TJKL8cU,0.8,0.15,0.05,14,https://www.youtube.com/watch?v=iV46TJKL8cU
Only reason I knew this trailer was out was when I saw chat music make a song out of this.,negative,iV46TJKL8cU,0.8,0.15,0.05,23934,https://www.youtube.com/watch?v=iV46TJKL8cU
I've been paralyzed from the waist down for 2 years now but this movie trailer gave me enough strength to stand up and jump out the window. Thank you.,negative,iV46TJKL8cU,0.8,0.15,0.05,4292,https://www.youtube.com/watch?v=iV46TJKL8cU
We thankfully have the technology nowadays to make the animation look worse than the original from 1937.,negative,iV46TJKL8cU,0.8,0.15,0.05,20883,https://www.youtube.com/watch?v=iV46TJKL8cU
Covid -19 has been forgotten as the worst disaster since Disney dropped this,negative,iV46TJKL8cU,0.8,0.15,0.05,72,https://www.youtube.com/watch?v=iV46TJKL8cU
The only Oscar this movie is getting is the award for best comment section,negative,iV46TJKL8cU,0.8,0.15,0.05,3489,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Coming to a theater near you"" This movie is the sun of my life, it needs to get 93 million miles away from me.",negative,iV46TJKL8cU,0.8,0.15,0.05,1583,https://www.youtube.com/watch?v=iV46TJKL8cU
As a both deaf and blind person i'll for sure enjoy this movie once it comes out 😊,negative,iV46TJKL8cU,0.8,0.15,0.05,1424,https://www.youtube.com/watch?v=iV46TJKL8cU
I thought I was going to watch snow white and not the destruction of all my hopes and dreams.,negative,iV46TJKL8cU,0.8,0.15,0.05,12,https://www.youtube.com/watch?v=iV46TJKL8cU
"For people who don't use the extension, currently: Until 2/2/2025 Likes: 41,098 Dislikes: 1,041,756 （96%）",negative,iV46TJKL8cU,0.8,0.15,0.05,6273,https://www.youtube.com/watch?v=iV46TJKL8cU
I just got a paraplegic patient to use his fingers by placing them near the pause button on the trailer. I’m crying right now.,negative,iV46TJKL8cU,0.8,0.15,0.05,1382,https://www.youtube.com/watch?v=iV46TJKL8cU
"The queen: I am jealous of her. The mirror: Are you? really? The queen: Naaah, I was just kidding!",negative,iV46TJKL8cU,0.8,0.15,0.05,16903,https://www.youtube.com/watch?v=iV46TJKL8cU
This is the funniest comment section I’ve seen,negative,iV46TJKL8cU,0.8,0.15,0.05,20,https://www.youtube.com/watch?v=iV46TJKL8cU
I love how we all collectively agree that the comments are better then the video lol,negative,iV46TJKL8cU,0.8,0.15,0.05,723,https://www.youtube.com/watch?v=iV46TJKL8cU
The trailer gave me depression but then the comment section cured it,negative,iV46TJKL8cU,0.8,0.15,0.05,5384,https://www.youtube.com/watch?v=iV46TJKL8cU
"""mirror, mirror on the wall"" ""Why no tickets were sold at all?""",negative,iV46TJKL8cU,0.8,0.15,0.05,2350,https://www.youtube.com/watch?v=iV46TJKL8cU
"If there were two movies left on Earth, this and The Marvels, I’d still watch The Marvels.",negative,iV46TJKL8cU,0.8,0.15,0.05,10,https://www.youtube.com/watch?v=iV46TJKL8cU
The song that was made based on the comments here deserves a Grammy.,negative,iV46TJKL8cU,0.8,0.15,0.05,2569,https://www.youtube.com/watch?v=iV46TJKL8cU
"Disney: “Coming soon to a theatre near you” Me: “Hello, I’d like to file a police report”",negative,iV46TJKL8cU,0.8,0.15,0.05,1493,https://www.youtube.com/watch?v=iV46TJKL8cU
"Rachel Zegler: Snow white doesn’t need a prince to save her! Andrew: Oh, thank God. Can I go now?",negative,iV46TJKL8cU,0.8,0.15,0.05,7115,https://www.youtube.com/watch?v=iV46TJKL8cU
Nearly 90.000 disney employes were forced to like this video,negative,iV46TJKL8cU,0.8,0.15,0.05,27,https://www.youtube.com/watch?v=iV46TJKL8cU
As a theatre employee It’s nice to know I’ll never have to worry about cleaning Snow White theatres.,negative,iV46TJKL8cU,0.8,0.15,0.05,8001,https://www.youtube.com/watch?v=iV46TJKL8cU
Not even Oppenheimer could make such a bomb,negative,iV46TJKL8cU,0.8,0.15,0.05,2080,https://www.youtube.com/watch?v=iV46TJKL8cU
"After reading all these comments, I'm surprised that Disney wouldn't delete any of these..",negative,iV46TJKL8cU,0.8,0.15,0.05,997,https://www.youtube.com/watch?v=iV46TJKL8cU
"“Mirror mirror on my wall, can someone disconnect the wifi for all?”",negative,iV46TJKL8cU,0.8,0.15,0.05,10,https://www.youtube.com/watch?v=iV46TJKL8cU
I can hear Walt Disney's frozen head screaming in the Disney Vault.,negative,iV46TJKL8cU,0.8,0.15,0.05,1433,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney: *Leaves Comment's Open* Everyone In The Comment Section: *Becomes The Greatest Comedians The World Has Ever Seen*,negative,iV46TJKL8cU,0.8,0.15,0.05,649,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney: Relive the classic story! Also Disney: *Changes the classic story*,negative,iV46TJKL8cU,0.8,0.15,0.05,16877,https://www.youtube.com/watch?v=iV46TJKL8cU
"If you ever feel useless, just remember that this trailer has a like button.",negative,iV46TJKL8cU,0.8,0.15,0.05,41,https://www.youtube.com/watch?v=iV46TJKL8cU
I bet the original Snow White would do better in the box office today than the live action.,negative,iV46TJKL8cU,0.8,0.15,0.05,12408,https://www.youtube.com/watch?v=iV46TJKL8cU
I'd rather spend an hour and 49 minutes looking through these comments.,negative,iV46TJKL8cU,0.8,0.15,0.05,3463,https://www.youtube.com/watch?v=iV46TJKL8cU
"Hats off to Disney for taking this monumental leap on the road to true equality and harmony. Everyone from every nation, religion, creed, race, gender, sexuality and ability, came together and with one loud voice spoke unto the heavens “we do not want this”.",negative,iV46TJKL8cU,0.8,0.15,0.05,2146,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Yo you got a new RTX 5090"" ""Yeah my 3080 Ti combusted when it saw this trailer""",negative,iV46TJKL8cU,0.8,0.15,0.05,7,https://www.youtube.com/watch?v=iV46TJKL8cU
"For people who don't use the Extension currently Likes: 74,372 Dislikes: 2,150,199",negative,iV46TJKL8cU,0.8,0.15,0.05,1394,https://www.youtube.com/watch?v=iV46TJKL8cU
"Instead of this movie, Disney should just take the comment section and show that in the movie theatres. Sold out, 10/10. 128 Oscar nominations.",negative,iV46TJKL8cU,0.8,0.15,0.05,710,https://www.youtube.com/watch?v=iV46TJKL8cU
"Evil queen: ""I don't remember you being this opinionated."" Me: ""Oh look, Evil queen is breaking the fourth wall.""",negative,iV46TJKL8cU,0.8,0.15,0.05,5505,https://www.youtube.com/watch?v=iV46TJKL8cU
The only time where I actually enjoy the ads.,negative,iV46TJKL8cU,0.8,0.15,0.05,10,https://www.youtube.com/watch?v=iV46TJKL8cU
Comment section deserves an award of its own for absurdly entertaining 😂,negative,iV46TJKL8cU,0.8,0.15,0.05,652,https://www.youtube.com/watch?v=iV46TJKL8cU
This movie doesn’t even deserve to be hate watched. You’ll get more entertainment from this comments section.,negative,iV46TJKL8cU,0.8,0.15,0.05,3211,https://www.youtube.com/watch?v=iV46TJKL8cU
The rotation of the Earth has increased by 7% just by virtue of Walt rolling over in his grave so hard.,negative,iV46TJKL8cU,0.8,0.15,0.05,1818,https://www.youtube.com/watch?v=iV46TJKL8cU
"I obviously didn't come here for the trailer, the comment section is better than the actually movie",negative,iV46TJKL8cU,0.8,0.15,0.05,12,https://www.youtube.com/watch?v=iV46TJKL8cU
As a kid I have always loved Snow White. Now I'm down for the Evil Queen,negative,iV46TJKL8cU,0.8,0.15,0.05,697,https://www.youtube.com/watch?v=iV46TJKL8cU
"For those not using the extension, currently: Likes 38K Dislikes 948K Just 52K left to one million!",negative,iV46TJKL8cU,0.8,0.15,0.05,3652,https://www.youtube.com/watch?v=iV46TJKL8cU
"This movie should be titled ""Snow White and the Comments Section""",negative,iV46TJKL8cU,0.8,0.15,0.05,797,https://www.youtube.com/watch?v=iV46TJKL8cU
If a a zombie apocalypse happened the people who made this movie would be invincible because they have no brains,negative,iV46TJKL8cU,0.8,0.15,0.05,15,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Coming to theatres near you"" Please don't do it. I have a family.",negative,iV46TJKL8cU,0.8,0.15,0.05,7489,https://www.youtube.com/watch?v=iV46TJKL8cU
"Queen: Mirror, mirror, who is the most beautiful woman in the world? Mirror: Lord Farquaad",negative,iV46TJKL8cU,0.8,0.15,0.05,5336,https://www.youtube.com/watch?v=iV46TJKL8cU
Came for the comments... didnt leave disappointed. Thank you.,negative,iV46TJKL8cU,0.8,0.15,0.05,791,https://www.youtube.com/watch?v=iV46TJKL8cU
A bit to late but here it is: The most digestible thing in this movie is the poisoned apple.,negative,iV46TJKL8cU,0.8,0.15,0.05,8,https://www.youtube.com/watch?v=iV46TJKL8cU
The only snow that's white here is the one Disney's executives keep snorting.,negative,iV46TJKL8cU,0.8,0.15,0.05,19927,https://www.youtube.com/watch?v=iV46TJKL8cU
"Guys, don't be so harsh, come on. We gotta appreciate Disney for warning us about the movie by releasing this trailer!!!!",negative,iV46TJKL8cU,0.8,0.15,0.05,2244,https://www.youtube.com/watch?v=iV46TJKL8cU
Even the Evil Queen wouldn’t waste a poisoned apple on this.,negative,iV46TJKL8cU,0.8,0.15,0.05,992,https://www.youtube.com/watch?v=iV46TJKL8cU
"""This film is not yet rated"" They should make it N for nobody",negative,iV46TJKL8cU,0.8,0.15,0.05,15898,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney I want to thank you. You taught my grandma to finally learn how to use the Apple TV remote. She shut the tv off real quick,negative,iV46TJKL8cU,0.8,0.15,0.05,723,https://www.youtube.com/watch?v=iV46TJKL8cU
Disney: Coming to a theater near you! Me: Moves to Antarctica,negative,iV46TJKL8cU,0.8,0.15,0.05,532,https://www.youtube.com/watch?v=iV46TJKL8cU
“Mummy can we watch Snow White?” “No we have Snow White at home.” Snow White at home:,negative,iV46TJKL8cU,0.8,0.15,0.05,7,https://www.youtube.com/watch?v=iV46TJKL8cU
I’m gonna convert this to an mp3 file and set it as my alarm so I can practice waking up before it.,negative,iV46TJKL8cU,0.8,0.15,0.05,777,https://www.youtube.com/watch?v=iV46TJKL8cU
Everyone hating on this film is the closest thing we've had to world peace,negative,iV46TJKL8cU,0.8,0.15,0.05,6668,https://www.youtube.com/watch?v=iV46TJKL8cU
"Evil Queen: Magic Mirror on the wall, who’s the fairest of them all? Magic Mirror: You know what, I’m done lying. You are.",negative,iV46TJKL8cU,0.8,0.15,0.05,634,https://www.youtube.com/watch?v=iV46TJKL8cU
Nah not me looking at this comment section after a really bad day and be happy again 😂,negative,iV46TJKL8cU,0.8,0.15,0.05,6,https://www.youtube.com/watch?v=iV46TJKL8cU
"If Walt Disney somehow came back to life, he would die again just by watching this trailer.",negative,iV46TJKL8cU,0.8,0.15,0.05,1089,https://www.youtube.com/watch?v=iV46TJKL8cU
Netflix must be waiting for a documentary on Disney's fall.,negative,iV46TJKL8cU,0.8,0.15,0.05,640,https://www.youtube.com/watch?v=iV46TJKL8cU
"Having struggled as an addict my whole life, watching this trailer has finally done it...I ain't never snorting any 'snow' or 'white' ever again...",negative,iV46TJKL8cU,0.8,0.15,0.05,828,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow white 1937 ✅️ Snow white 2025 ❌️,negative,iV46TJKL8cU,0.8,0.15,0.05,12,https://www.youtube.com/watch?v=iV46TJKL8cU
"Please Disney, change the plot. Let the evil queen win. Thats you only chance to save this movie.",negative,iV46TJKL8cU,0.8,0.15,0.05,9533,https://www.youtube.com/watch?v=iV46TJKL8cU
"For those who don’t use the extension currently: - Views: 9,114,774 - Likes: 43,857 - Dislikes: 1,139,315 (96%) *UPDATE:* - Views: 18,095,520 - Likes: 74,924 - Dislikes: 2,163,426 (97%）",negative,iV46TJKL8cU,0.8,0.15,0.05,1834,https://www.youtube.com/watch?v=iV46TJKL8cU
"Prince: ""I shall awaken her with a kiss."" Dwarfs, Queen, Kingdom, Theater Audience, General Public: ""NOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!!!!""",negative,iV46TJKL8cU,0.8,0.15,0.05,3755,https://www.youtube.com/watch?v=iV46TJKL8cU
You know it’s bad the moment the comments have more likes than the video,negative,iV46TJKL8cU,0.8,0.15,0.05,1347,https://www.youtube.com/watch?v=iV46TJKL8cU
"At this point, i won't be surprised if Disney made a Frozen live action movie set in the Sahara Desert",negative,iV46TJKL8cU,0.8,0.15,0.05,1552,https://www.youtube.com/watch?v=iV46TJKL8cU
Rachel zeagler look like she gonna turn to the crowd and go “some of you may die but that’s a sacrifice I am willing to make”,negative,iV46TJKL8cU,0.8,0.15,0.05,1673,https://www.youtube.com/watch?v=iV46TJKL8cU
Me before I watch the trailer: This movie looks cool! 🎉 Me after: Did I just walk out of prison? 😂,negative,iV46TJKL8cU,0.8,0.15,0.05,6,https://www.youtube.com/watch?v=iV46TJKL8cU
Even Samsung is cheering for that Apple,negative,iV46TJKL8cU,0.8,0.15,0.05,6176,https://www.youtube.com/watch?v=iV46TJKL8cU
Snow White and the 7 Viewers,negative,iV46TJKL8cU,0.8,0.15,0.05,1721,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Disney invites you."" Me- ""I am disinclined to acquiesce to your request.""",negative,iV46TJKL8cU,0.8,0.15,0.05,536,https://www.youtube.com/watch?v=iV46TJKL8cU
Waiting on a wish that Disney just reuploads the original movie and calls it a remake. They will make more money that way,negative,iV46TJKL8cU,0.8,0.15,0.05,6,https://www.youtube.com/watch?v=iV46TJKL8cU
I just came here to read the comments. I didn’t even bother watching the trailer lol,negative,iV46TJKL8cU,0.8,0.15,0.05,1514,https://www.youtube.com/watch?v=iV46TJKL8cU
Even Mickey stopped smiling after seeing this,negative,iV46TJKL8cU,0.8,0.15,0.05,387,https://www.youtube.com/watch?v=iV46TJKL8cU
"While I watched this trailer, my phone scrolled down by itself to see the comment section.",negative,iV46TJKL8cU,0.8,0.15,0.05,711,https://www.youtube.com/watch?v=iV46TJKL8cU
Mirror mirror on the wall this is the baddest trailer of them all,negative,iV46TJKL8cU,0.8,0.15,0.05,24,https://www.youtube.com/watch?v=iV46TJKL8cU
